"card_id","card_name","old_count","new_count","deck_delta_relation","rule_id","source_file","line_range","dependency_role","frozen_trigger","frozen_action_or_effect","v0_behavior","v1_requirement","v2_requirement","public_semantic_retained","evidence_status","notes"
"743","Alakazam","3","4","INCREASED_COPY","P.TX.STRANDED_RETREAT","_cumulative_parent.py","3537-3914","KEEP","END or nonlethal active with lethal ready bench Alakazam","retreat; pay; promote; Powerful Hand","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.TX.FEZ_BRIDGE","_cumulative_parent.py","3920-4325","KEEP","active Fez with paid retreat and exact continuity","retreat; pay; promote Alakazam; Powerful Hand","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.TX.ZERO_DECK_ASH","_cumulative_parent.py","5131-5204;5315-5405","KEEP","deck zero and parent chose nonterminal attack","Sacred Ash; restore first legal recoverables","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.TX.EXACT_PRIZE_LANE","_cumulative_parent.py","7140-7753","MODIFY_IN_V1","exact active or bench terminal prize route","attack or Boss unique target then Powerful Hand","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","Nighttime Mine must be handled explicitly"
"743","Alakazam","3","4","INCREASED_COPY","P.GUARD.H0_H1","_cumulative_parent.py","4717-5030;5408-5508","MODIFY_IN_V1","ready lethal H0 with exactly one successor","replace destructive projection with Powerful Hand unless superior Boss","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.OVERLAY.RUN_AWAY_HIT_BOUND","_cumulative_parent.py","6298-6344","KEEP","safe three-draw strictly reduces hits to KO","raise cheapest bench Dudunsparce ability score above Powerful Hand","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.GUARD.FRAGILE_ABRA","_cumulative_parent.py","852-897;6346-6396","KEEP","spread threat late prize clock and staged successor","suppress top Abra PLAY","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.MODEL.TARGET_SAFETY","_cumulative_parent.py","5753-5898","KEEP","rank terminal and killable targets with resource floors","choose target and model Hammer/Boss counts","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","KEEP","legal energy attachment","rank retreat need Abra line and Duns draw","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.SCORE.EVOLVE","_cumulative_parent.py","6208-6239","KEEP","legal evolve option","rank Alakazam Kadabra Dudunsparce with draw safety","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","KEEP","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","I.ACTIVE_DUDUN_KO","planner_active_dudunsparce_ko.py","199-215;357-416;593-614","MODIFY_IN_V1","damaged active Dudun and unique ready lethal bench after three draws","Run Away; promote; exact KO attack","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","I.PSYCHIC_READINESS","planner_final_policy.py","735-842;1274-1408","KEEP","parent END/attach consumption with exact H0 or unique H1","attach Basic/Telepath; optional search; attack or reserve","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","I.POWERFUL_HAND_FLOOR","planner_policy.py","309-340","KEEP","ready lethal Alakazam and parent nonattack loses lethal/successor","force Powerful Hand","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","I.TERMINAL_ATTACH","planner_policy.py","539-591;791-815","UNKNOWN","exact two-prize state and parent Enriching-to-bench","Basic to active; Powerful Hand; select two prizes","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","likely shadowed but not totally proven dead"
"743","Alakazam","3","4","INCREASED_COPY","I.SETUP_STOP","planner_final_policy.py","227-258","MODIFY_IN_V1","unique H0 attack versus optional play/ability/end","attack unless protected action has exact better floor","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"858","Psyduck","1","0","REMOVED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"858","Psyduck","1","0","REMOVED","P.SCORE.CARD.D858","_cumulative_parent.py","5935-5943;5990-6004","REMOVE","setup or water-threat bench target","rank Psyduck or reject","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"858","Psyduck","1","0","REMOVED","P.SCORE.PLAY_POKEMON.D","_cumulative_parent.py","6046-6056","REMOVE","Genesect before ACE or Psyduck water/Duskull context","rank or reject deleted Pokemon","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"858","Psyduck","1","0","REMOVED","P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","KEEP","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1079","Rare Candy","3","3","SHARED_UNCHANGED","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1081","Enhanced Hammer","3","4","INCREASED_COPY","P.MODEL.TARGET_SAFETY","_cumulative_parent.py","5753-5898","KEEP","rank terminal and killable targets with resource floors","choose target and model Hammer/Boss counts","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1081","Enhanced Hammer","3","4","INCREASED_COPY","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1081","Enhanced Hammer","3","4","INCREASED_COPY","I.SETUP_STOP","planner_final_policy.py","227-258","MODIFY_IN_V1","unique H0 attack versus optional play/ability/end","attack unless protected action has exact better floor","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1086","Buddy-Buddy Poffin","4","4","SHARED_UNCHANGED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"1086","Buddy-Buddy Poffin","4","4","SHARED_UNCHANGED","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1097","Night Stretcher","1","1","SHARED_UNCHANGED","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1129","Sacred Ash","1","1","SHARED_UNCHANGED","P.TX.ZERO_DECK_ASH","_cumulative_parent.py","5131-5204;5315-5405","KEEP","deck zero and parent chose nonterminal attack","Sacred Ash; restore first legal recoverables","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1129","Sacred Ash","1","1","SHARED_UNCHANGED","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1129","Sacred Ash","1","1","SHARED_UNCHANGED","I.SETUP_STOP","planner_final_policy.py","227-258","MODIFY_IN_V1","unique H0 attack versus optional play/ability/end","attack unless protected action has exact better floor","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1152","Poké Pad","4","4","SHARED_UNCHANGED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"1152","Poké Pad","4","4","SHARED_UNCHANGED","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1156","Lucky Helmet","1","0","REMOVED","P.GUARD.THIN_HELMET","_cumulative_parent.py","5058-5128","REMOVE","deck at most two and active Helmet attach without recycle","force unique attack or END","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1156","Lucky Helmet","1","0","REMOVED","P.SCORE.PLAY_POKEMON.D","_cumulative_parent.py","6046-6056","REMOVE","Genesect before ACE or Psyduck water/Duskull context","rank or reject deleted Pokemon","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1156","Lucky Helmet","1","0","REMOVED","P.SCORE.PLAY_TRAINER.D","_cumulative_parent.py","6130-6131;6151-6157","REMOVE","Helmet or Battle Cage in own hand","score 7000 or 19000/7000","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1156","Lucky Helmet","1","0","REMOVED","P.SCORE.ATTACH.D1156","_cumulative_parent.py","6163-6170","REMOVE","legal Helmet attachment","score 7000 plus Genesect/position bonuses","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1156","Lucky Helmet","1","0","REMOVED","I.DRAW_CLOCK","planner_final_policy.py","51-74","MODIFY_IN_V1","objective estimates next draws/H2","reserve clock; active Helmet may add forced draw two","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1161","Handheld Fan","2","0","REMOVED","I.FAN_RESPONSE","planner_policy.py","485-536;733-788","REMOVE","Handheld Fan response to positive attack","attach/move energy to minimize readiness","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1182","Boss’s Orders","2","3","INCREASED_COPY","P.TX.EXACT_PRIZE_LANE","_cumulative_parent.py","7140-7753","MODIFY_IN_V1","exact active or bench terminal prize route","attack or Boss unique target then Powerful Hand","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","Nighttime Mine must be handled explicitly"
"1182","Boss’s Orders","2","3","INCREASED_COPY","P.GUARD.H0_H1","_cumulative_parent.py","4717-5030;5408-5508","MODIFY_IN_V1","ready lethal H0 with exactly one successor","replace destructive projection with Powerful Hand unless superior Boss","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1182","Boss’s Orders","2","3","INCREASED_COPY","P.MODEL.HAND","_cumulative_parent.py","5704-5751","MODIFY_IN_V1","estimate Powerful Hand after candidate action","project hand and counter count","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1182","Boss’s Orders","2","3","INCREASED_COPY","P.MODEL.TARGET_SAFETY","_cumulative_parent.py","5753-5898","KEEP","rank terminal and killable targets with resource floors","choose target and model Hammer/Boss counts","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1182","Boss’s Orders","2","3","INCREASED_COPY","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1182","Boss’s Orders","2","3","INCREASED_COPY","I.SETUP_STOP","planner_final_policy.py","227-258","MODIFY_IN_V1","unique H0 attack versus optional play/ability/end","attack unless protected action has exact better floor","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1184","Lana’s Aid","0","1","ADDED_NEW_ID","P.TX.GUARDED_TELEPORT","_cumulative_parent.py","2196-2553","MODIFY_IN_V1","final parent retreat from energized Abra with exact promotion","replace retreat with Teleportation and frozen promotion","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","extend exact allowlist deliberately"
"1184","Lana’s Aid","0","1","ADDED_NEW_ID","P.GUARD.H0_H1","_cumulative_parent.py","4717-5030;5408-5508","MODIFY_IN_V1","ready lethal H0 with exactly one successor","replace destructive projection with Powerful Hand unless superior Boss","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1184","Lana’s Aid","0","1","ADDED_NEW_ID","P.MODEL.HAND","_cumulative_parent.py","5704-5751","MODIFY_IN_V1","estimate Powerful Hand after candidate action","project hand and counter count","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1184","Lana’s Aid","0","1","ADDED_NEW_ID","P.SCORE.CARD.UNMODELED","_cumulative_parent.py","5911-6012","PORT_ONLY","DISCARD HEAL or unnamed child prompt","score 0 and retain engine option order","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","v0 explicit forced-discard hook only"
"1184","Lana’s Aid","0","1","ADDED_NEW_ID","P.SCORE.PLAY_ADDED_FALLTHROUGH","_cumulative_parent.py","6068-6069","PORT_ONLY","new card exposed as legal PLAY","frozen gives 10000; v0 overrides to -1 hold","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","prevents accidental generic preemption"
"1184","Lana’s Aid","0","1","ADDED_NEW_ID","I.SETUP_STOP","planner_final_policy.py","227-258","MODIFY_IN_V1","unique H0 attack versus optional play/ability/end","attack unless protected action has exact better floor","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1184","Lana’s Aid","0","1","ADDED_NEW_ID","GAP.A1184.LANA","_cumulative_parent.py","6068-6069;5911-6012","MODIFY_IN_V1","Lana PLAY or HEAL child","frozen generic PLAY=10000; child score=0; v0 hold","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","needs recovery legality and final hand floor"
"1197","Xerosic’s Machinations","0","3","ADDED_NEW_ID","P.TX.GUARDED_TELEPORT","_cumulative_parent.py","2196-2553","MODIFY_IN_V1","final parent retreat from energized Abra with exact promotion","replace retreat with Teleportation and frozen promotion","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","extend exact allowlist deliberately"
"1197","Xerosic’s Machinations","0","3","ADDED_NEW_ID","P.GUARD.H0_H1","_cumulative_parent.py","4717-5030;5408-5508","MODIFY_IN_V1","ready lethal H0 with exactly one successor","replace destructive projection with Powerful Hand unless superior Boss","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1197","Xerosic’s Machinations","0","3","ADDED_NEW_ID","P.MODEL.HAND","_cumulative_parent.py","5704-5751","MODIFY_IN_V1","estimate Powerful Hand after candidate action","project hand and counter count","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1197","Xerosic’s Machinations","0","3","ADDED_NEW_ID","P.SCORE.CARD.UNMODELED","_cumulative_parent.py","5911-6012","PORT_ONLY","DISCARD HEAL or unnamed child prompt","score 0 and retain engine option order","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","v0 explicit forced-discard hook only"
"1197","Xerosic’s Machinations","0","3","ADDED_NEW_ID","P.SCORE.PLAY_ADDED_FALLTHROUGH","_cumulative_parent.py","6068-6069","PORT_ONLY","new card exposed as legal PLAY","frozen gives 10000; v0 overrides to -1 hold","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","prevents accidental generic preemption"
"1197","Xerosic’s Machinations","0","3","ADDED_NEW_ID","I.SETUP_STOP","planner_final_policy.py","227-258","MODIFY_IN_V1","unique H0 attack versus optional play/ability/end","attack unless protected action has exact better floor","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1197","Xerosic’s Machinations","0","3","ADDED_NEW_ID","GAP.A1197.XEROSIC","_cumulative_parent.py","6068-6069;5911-6012","MODIFY_IN_V1","Xerosic PLAY or discard-to-three child","frozen generic PLAY=10000; discard original order; v0 hold/forced discard","explicit V0_GENERIC_HOLD; forced-discard handling where applicable","implement exact nine-slot package certificate and hand-floor guard","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","needs exact hand collapse and one-card corridor"
"1225","Hilda","4","4","SHARED_UNCHANGED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"1225","Hilda","4","4","SHARED_UNCHANGED","P.MODEL.HAND","_cumulative_parent.py","5704-5751","MODIFY_IN_V1","estimate Powerful Hand after candidate action","project hand and counter count","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1225","Hilda","4","4","SHARED_UNCHANGED","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1225","Hilda","4","4","SHARED_UNCHANGED","I.HILDA_ENRICHING","planner_policy.py","353-414;615-650","KEEP","Hilda energy child without H0/H1/Telepath target and safe draw","choose Enriching then active attach; verify draw four","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1231","Dawn","4","4","SHARED_UNCHANGED","P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","KEEP","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"1264","Battle Cage","4","0","REMOVED","P.TX.GUARDED_TELEPORT","_cumulative_parent.py","2196-2553","MODIFY_IN_V1","final parent retreat from energized Abra with exact promotion","replace retreat with Teleportation and frozen promotion","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","extend exact allowlist deliberately"
"1264","Battle Cage","4","0","REMOVED","P.TX.EXACT_PRIZE_LANE","_cumulative_parent.py","7140-7753","MODIFY_IN_V1","exact active or bench terminal prize route","attack or Boss unique target then Powerful Hand","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","Nighttime Mine must be handled explicitly"
"1264","Battle Cage","4","0","REMOVED","P.GUARD.FRAGILE_ABRA","_cumulative_parent.py","852-897;6346-6396","KEEP","spread threat late prize clock and staged successor","suppress top Abra PLAY","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1264","Battle Cage","4","0","REMOVED","P.SCORE.PLAY_TRAINER.D","_cumulative_parent.py","6130-6131;6151-6157","REMOVE","Helmet or Battle Cage in own hand","score 7000 or 19000/7000","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1264","Battle Cage","4","0","REMOVED","P.SCORE.ABILITY.FALLTHROUGH","_cumulative_parent.py","6266-6269","MODIFY_IN_V1","unnamed ability legal","Battle Cage=1; every other ability=28000","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1264","Battle Cage","4","0","REMOVED","I.ACTIVE_DUDUN_KO","planner_active_dudunsparce_ko.py","199-215;357-416;593-614","MODIFY_IN_V1","damaged active Dudun and unique ready lethal bench after three draws","Run Away; promote; exact KO attack","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"1264","Battle Cage","4","0","REMOVED","I.SETUP_STOP","planner_final_policy.py","227-258","MODIFY_IN_V1","unique H0 attack versus optional play/ability/end","attack unless protected action has exact better floor","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
